Date,High,Low,Open,Close,Volume,Adj Close
2019-06-10,84.4800033569336,82.55999755859375,83.36000061035156,83.6500015258789,5315700.0,81.59857177734375
2019-06-11,85.58000183105469,84.22000122070312,84.77999877929688,84.51000213623047,4841100.0,82.43748474121094
2019-06-12,85.8499984741211,84.36000061035156,84.7699966430664,85.38999938964844,3385100.0,83.2958984375
2019-06-13,86.68000030517578,85.5999984741211,85.87000274658203,86.38999938964844,3959300.0,84.27136993408203
2019-06-14,86.88999938964844,85.62999725341797,86.16999816894531,86.5,2409500.0,84.37867736816406
2019-06-17,86.2699966430664,84.76000213623047,85.11000061035156,85.70999908447266,3514300.0,83.6080551147461
2019-06-18,86.86000061035156,85.83000183105469,86.55999755859375,86.55000305175781,3223900.0,84.42745971679688
2019-06-19,87.08000183105469,85.87000274658203,87.0,86.20999908447266,2037400.0,84.09578704833984
2019-06-20,87.36000061035156,86.12999725341797,87.25,86.58999633789062,3600600.0,84.46646881103516
2019-06-21,87.30999755859375,85.98999786376953,86.08000183105469,86.45999908447266,5262100.0,84.33966064453125
2019-06-24,87.31999969482422,86.0999984741211,86.19999694824219,86.95999908447266,2564100.0,84.82740020751953
2019-06-25,87.19999694824219,86.22000122070312,86.94000244140625,86.56999969482422,2509500.0,84.44696044921875
2019-06-26,87.2699966430664,86.23999786376953,86.5,86.2699966430664,3556400.0,84.1543197631836
2019-06-27,87.19999694824219,86.36000061035156,86.5,86.63999938964844,2986500.0,84.51524353027344
2019-06-28,87.05000305175781,86.12000274658203,86.73999786376953,86.12999725341797,6872900.0,84.01775360107422
2019-07-01,87.69999694824219,86.66999816894531,86.9000015258789,87.27999877929688,2734100.0,85.13954162597656
2019-07-02,87.45999908447266,86.55000305175781,87.31999969482422,87.08000183105469,5112900.0,84.9444580078125
2019-07-03,87.5,86.98999786376953,87.12000274658203,87.3499984741211,2584100.0,85.20783233642578
2019-07-05,87.45999908447266,86.87999725341797,87.0999984741211,87.41999816894531,6004700.0,85.27610778808594
2019-07-08,87.6500015258789,87.1500015258789,87.26000213623047,87.37000274658203,10150600.0,85.22734069824219
2019-07-09,88.37999725341797,84.19999694824219,88.25,84.6500015258789,12137500.0,82.57405090332031
